小区名称,户型,面积(㎡),详情链接,成交日期,成交总价(万),成交单价(元/平),朝向,装修,楼层信息,建成年代,房屋结构,挂牌价(万),成交周期(天)
"三泉前进公寓","3室2厅","94.47","https://sh.ke.com/chengjiao/107112882947.html","2025.06.30","430","45518","南","简装","中楼层(共6层)","1995","板楼","446","48"
"保德路1010弄","1室1厅","44.88","https://sh.ke.com/chengjiao/107113245540.html","2025.06.30","165","36765","南 北","简装","中楼层(共5层)","1992","板楼","180","11"
"共康四村","2室1厅","62.78","https://sh.ke.com/chengjiao/107112815044.html","2025.06.29","234","37274","南","精装","中楼层(共6层)","1995","板楼","249","54"
"景凤小区","1室1厅","44.94","https://sh.ke.com/chengjiao/107113146745.html","2025.06.29","160","35604","南","简装","低楼层(共6层)","1994","板楼","165","20"
"彭新小区","1室1厅","29.47","https://sh.ke.com/chengjiao/107112952906.html","2025.06.28","132","44792","南","精装","中楼层(共6层)","1984","板楼","132","39"
"场中路2401弄","1室0厅","40.11","https://sh.ke.com/chengjiao/107112710141.html","2025.06.26","156.5","39018","南","简装","低楼层(共6层)","1986","板楼","159","63"
"平保小区","1室1厅","42.79","https://sh.ke.com/chengjiao/107110071297.html","2025.06.26","152","35523","南","简装","低楼层(共6层)","1990","板楼","165","368"
"岭南路100弄","1室1厅","37.03","https://sh.ke.com/chengjiao/107112971601.html","2025.06.24","140","37808","南","简装","低楼层(共6层)","1988","板楼","142","33"
"彭五小区","2室1厅","51.73","https://sh.ke.com/chengjiao/107112378077.html","2025.06.23","191.6","37039","南 北","简装","高楼层(共6层)","1981","板楼","215","94"
"平顺路825弄","1室1厅","40.71","https://sh.ke.com/chengjiao/107113043163.html","2025.06.23","158","38812","南","精装","低楼层(共6层)","1993","板楼","169","24"
"三泉家园","3室2厅","135.13","https://sh.ke.com/chengjiao/107109150930.html","2025.06.22","695","51432","南 北","精装","中楼层(共11层)","2003","板楼","750","477"
"三泉家园","5室2厅","185.78","https://sh.ke.com/chengjiao/107110102840.html","2025.06.22","682","36711","南","精装","高楼层(共6层)","2003","板楼","820","360"
"保德路1120弄","2室1厅","53.94","https://sh.ke.com/chengjiao/107112488523.html","2025.06.22","211.8","39266","南","简装","中楼层(共6层)","1992","板楼","223","82"
"保德路425弄","2室1厅","53.65","https://sh.ke.com/chengjiao/107112090150.html","2025.06.21","193","35974","南","简装","高楼层(共6层)","1989","板楼","215","119"
"三泉路424弄","1室1厅","43.41","https://sh.ke.com/chengjiao/107111934969.html","2025.06.21","158","36398","南 北","简装","高楼层(共6层)","1992","板楼","170","133"
"闻喜小区","1室1厅","34.72","https://sh.ke.com/chengjiao/107112842531.html","2025.06.21","138","39747","南","简装","高楼层(共6层)","1985","板楼","149.8","43"
"临汾花园","2室1厅","68.51","https://sh.ke.com/chengjiao/107112797052.html","2025.06.19","345","50358","南","精装","中楼层(共6层)","1997","板楼","368","46"
"彭顺小区","2室1厅","46.08","https://sh.ke.com/chengjiao/107112357959.html","2025.06.19","203","44054","南","精装","中楼层(共5层)","1977","板楼","208","92"
"曲沃路35弄","2室1厅","50.78","https://sh.ke.com/chengjiao/107113036788.html","2025.06.18","200","39386","南 北","精装","中楼层(共6层)","1994","板楼","219","21"
"平顺小区","1室1厅","42.07","https://sh.ke.com/chengjiao/107111700419.html","2025.06.17","159.6","37937","南","简装","中楼层(共6层)","1985","板楼","178","173"
"昌林公寓","1室1厅","48.46","https://sh.ke.com/chengjiao/107113075352.html","2025.06.17","145","29922","南","简装","低楼层(共6层)","1996","板楼","153","15"
"保德公寓","1室1厅","40.22","https://sh.ke.com/chengjiao/107112596461.html","2025.06.15","143","35555","南","简装","高楼层(共6层)","1997","板楼","158","64"
"岭南路100弄","2室1厅","74.17","https://sh.ke.com/chengjiao/107113194613.html","2025.06.15","","","南","其他","中楼层(共6层)","1996","板楼","N/A","N/A"
"和源名城","1室1厅","56.77","https://sh.ke.com/chengjiao/107112656173.html","2025.06.14","240","42276","南 西 北","简装","中楼层(共35层)","2014","板楼","252","57"
"保德公寓","1室1厅","48.75","https://sh.ke.com/chengjiao/107109357410.html","2025.06.14","171","35077","南","简装","中楼层(共6层)","1997","板楼","178","445"
"里昂公寓","2室2厅","76.49","https://sh.ke.com/chengjiao/107112404518.html","2025.06.13","301","39352","南","精装","低楼层(共6层)","1999","板楼","339","82"
"三泉前进公寓","2室1厅","50.94","https://sh.ke.com/chengjiao/107112291496.html","2025.06.13","167.5","32882","南","简装","高楼层(共6层)","1995","板楼","172","92"
"共康四村","2室1厅","48.64","https://sh.ke.com/chengjiao/107112511285.html","2025.06.11","168","34540","南","毛坯","中楼层(共6层)","1995","板楼","178","68"
"泉灵小区","1室1厅","42.73","https://sh.ke.com/chengjiao/107111689871.html","2025.06.10","126.3","29558","南","简装","高楼层(共6层)","1993","板楼","140","167"
"彭顺小区","2室1厅","52.11","https://sh.ke.com/chengjiao/107112027427.html","2025.06.09","167","32048","南","简装","高楼层(共6层)","1983","板楼","189","113"
"汾西小区","1室1厅","34.76","https://sh.ke.com/chengjiao/107113090961.html","2025.06.09","136","39126","南","精装","低楼层(共4层)","1992","板楼","148","5"
"共康四村","2室2厅","64.71","https://sh.ke.com/chengjiao/107112992709.html","2025.06.09","250","38634","南","简装","高楼层(共6层)","1995","板楼","265","16"
"三泉前进公寓","3室2厅","94.54","https://sh.ke.com/chengjiao/107113114670.html","2025.06.08","378","39984","南","精装","高楼层(共6层)","1998","板楼","410","2"
"彭豪公寓","2室1厅","64.21","https://sh.ke.com/chengjiao/107109707257.html","2025.06.07","280","43607","南","精装","中楼层(共6层)","1997","板楼","305","393"
"阳景小区","2室0厅","46.07","https://sh.ke.com/chengjiao/107112990214.html","2025.06.06","150.6","32690","南 北","简装","高楼层(共6层)","1989","板楼","153","12"
"阳曲小区","2室2厅","73.17","https://sh.ke.com/chengjiao/107112606837.html","2025.06.05","270","36901","东南 南","精装","中楼层(共14层)","1990","塔楼","290","53"
"共康四村","2室1厅","57.6","https://sh.ke.com/chengjiao/107112526499.html","2025.06.03","225","39063","南","精装","中楼层(共6层)","1995","板楼","250","59"
"泉灵小区","2室1厅","57.93","https://sh.ke.com/chengjiao/107112724512.html","2025.06.03","227.3","39238","东南","简装","中楼层(共6层)","1993","板楼","245","39"
"临汾路1564弄","2室1厅","55.33","https://sh.ke.com/chengjiao/107112962028.html","2025.06.02","214","38678","南","简装","中楼层(共6层)","1995","板楼","218","12"
"保德路425弄","2室1厅","59.17","https://sh.ke.com/chengjiao/107112760168.html","2025.06.02","233","39379","南","简装","高楼层(共6层)","1988","板楼","238","34"
